"Year","Economy_Label","Flow_Label","US_at_current_prices_in_millions_Value"
"1953-01-01 00:00:00","Brazil","Imports",1319.0
"1953-01-01 00:00:00","Canada","Exports",4385.0
"1953-01-01 00:00:00","Canada","Imports",4696.0
"1953-01-01 00:00:00","Chile","Exports",408.0
"1953-01-01 00:00:00","Chile","Imports",335.0
"1953-01-01 00:00:00","China","Exports",1020.0
"1953-01-01 00:00:00","China","Imports",1350.0
"1953-01-01 00:00:00","Hong_Kong","Exports",478.0
"1953-01-01 00:00:00","Hong_Kong","Imports",678.0
"1953-01-01 00:00:00","Taiwan","Exports",128.0
"1953-01-01 00:00:00","Taiwan","Imports",192.0
"1953-01-01 00:00:00","Colombia","Exports",596.0
"1953-01-01 00:00:00","Colombia","Imports",547.0
"1953-01-01 00:00:00","Denmark","Exports",894.0
"1953-01-01 00:00:00","Denmark","Imports",1000.0
"1953-01-01 00:00:00","Egypt","Exports",409.0
"1953-01-01 00:00:00","Egypt","Imports",517.0
"1953-01-01 00:00:00","Finland","Exports",572.0
"1953-01-01 00:00:00","Finland","Imports",530.0
"1953-01-01 00:00:00","France","Exports",4096.0
"1953-01-01 00:00:00","France","Imports",4278.0
"1953-01-01 00:00:00","Germany","Exports",0.0
"1953-01-01 00:00:00","Germany","Imports",0.0
"1953-01-01 00:00:00","Hungary","Exports",498.0
"1953-01-01 00:00:00","Hungary","Imports",488.0
"1953-01-01 00:00:00","India","Exports",1101.0
"1953-01-01 00:00:00","India","Imports",1160.0
"1953-01-01 00:00:00","Indonesia","Exports",0.0
"1953-01-01 00:00:00","Indonesia","Imports",0.0
"1953-01-01 00:00:00","Israel","Exports",58.0
"1953-01-01 00:00:00","Israel","Imports",281.0
"1953-01-01 00:00:00","Italy","Exports",1507.0
"1953-01-01 00:00:00","Italy","Imports",2421.0
"1953-01-01 00:00:00","Japan","Exports",1275.0
"1953-01-01 00:00:00","Japan","Imports",2408.0
"1953-01-01 00:00:00","Malaysia","Exports",679.0
"1953-01-01 00:00:00","Malaysia","Imports",625.0
"1953-01-01 00:00:00","Mexico","Exports",591.0
"1953-01-01 00:00:00","Mexico","Imports",808.0
"1953-01-01 00:00:00","Netherlands","Exports",2486.0
"1953-01-01 00:00:00","Netherlands","Imports",2785.0
"1953-01-01 00:00:00","Norway","Exports",508.0
"1953-01-01 00:00:00","Norway","Imports",912.0
"1953-01-01 00:00:00","Peru","Exports",222.0
"1953-01-01 00:00:00","Peru","Imports",293.0
"1953-01-01 00:00:00","Philippines","Exports",399.0
"1953-01-01 00:00:00","Philippines","Imports",502.0
"1953-01-01 00:00:00","Poland","Exports",831.0
"1953-01-01 00:00:00","Poland","Imports",774.0
"1953-01-01 00:00:00","Portugal","Exports",219.0
"1953-01-01 00:00:00","Portugal","Imports",331.0
"1953-01-01 00:00:00","South_Korea","Exports",40.0
"1953-01-01 00:00:00","South_Korea","Imports",345.0
"1953-01-01 00:00:00","Russia","Exports",0.0
"1953-01-01 00:00:00","Russia","Imports",0.0
"1953-01-01 00:00:00","Saudi_Arabia","Exports",555.0
"1953-01-01 00:00:00","Saudi_Arabia","Imports",220.0
"1953-01-01 00:00:00","South_Africa","Exports",1380.0
"1953-01-01 00:00:00","South_Africa","Imports",1270.0
"1953-01-01 00:00:00","Spain","Exports",482.0
